id,titik_pemantauan,tanggal_pemantauan,waktu_pemantauan,laboratorium,cuaca,temperatur,tds,tss,ph,bod,cod,do,sulfat,clorida,nitrat,nitrit,amoniak,fosfat,sianida,merkuri,besi,mangan,seng,kromium,detergen,fenol,fecal_coliform,total_coliform
1,1,2021-03-02,12:37:00,"Lab. Lingkungan DLH Kota Pontianak, Lab. Baristand Pontianak","Cerah, Berasap",29.6,85.3,21,7.174,1.65,29,0.75,9,179,1,0.01,0.018,0.038,0.002,0.0002,0.5,0.1,0.05,0.01,0.094,0.0001,0,30
10,1,2021-10-05,14:09:36,"Lab. Lingkungan DLH Kota Pontianak, Lab. Baristand Pontianak",Cerah,29.6,3.3,46,6.62,1.96,13,0.14,8,9.71,10,0.02,0.001,0.011,0.002,0.0002,,,,,0.052,,33,49
2,2,2021-03-02,12:43:00,"Lab. Lingkungan DLH Kota Pontianak, Lab. Baristand Pontianak","Cerah, Berasap",29.8,332,18,7.277,0.48,46,0.92,88,198,0.3,0.01,0.023,0.045,0.002,0.0002,0.5,0.1,0.05,0.02,0.164,0.0019,10,140
11,2,2021-10-05,01:40:48,"Lab. Lingkungan DLH Kota Pontianak, Lab. Baristand Pontianak",Cerah,28.9,4.5,54,6.37,1.64,13,0.2,2,7.86,0.3,0.02,0.001,0.017,0.002,0.0002,,,,,0.056,,11,11
3,3,2021-03-02,12:50:00,"Lab. Lingkungan DLH Kota Pontianak, Lab. Baristand Pontianak","Cerah, Berasap",29.7,828,28,7.389,0.64,93,0.9,63,437,0.3,0.01,0.143,0.046,0.002,0.0002,0.1,0.1,0.05,0.02,0.068,0.0001,20,60
12,3,2021-10-05,03:07:12,"Lab. Lingkungan DLH Kota Pontianak, Lab. Baristand Pontianak",Cerah,28.8,4.7,51,5.96,1.47,19,0.18,2,2,0.3,0.02,0.07,0.026,0.002,0.0002,,,,,0.056,,4.5,11
4,4,2021-03-02,12:04:00,"Lab. Lingkungan DLH Kota Pontianak, Lab. Baristand Pontianak","Cerah, Berasap",29.5,29.3,63,7.112,0.56,94,1.21,2,14.4,0.3,0.01,0.011,0.052,0.002,0.0002,0.4,0.1,0.05,0.01,0.025,0.0001,10,30
13,4,2021-10-05,07:40:48,"Lab. Lingkungan DLH Kota Pontianak, Lab. Baristand Pontianak",Cerah,28.7,4.2,49,5.49,2.21,39,0.17,2,12.9,0.3,0.02,0.011,0.028,0.002,0.0002,,,,,0.048,,79,350
5,5,2021-03-02,12:12:00,"Lab. Lingkungan DLH Kota Pontianak, Lab. Baristand Pontianak","Cerah, Berasap",30.2,20.9,36,7.065,0.4,40,0.93,2,13.2,0.3,0.01,0.026,0.054,0.002,0.0002,0.5,0.1,0.05,0.01,0.04,0.0008,0,10
14,5,2021-10-05,09:36:00,"Lab. Lingkungan DLH Kota Pontianak, Lab. Baristand Pontianak",Cerah,28.4,4.5,45,5.39,2.05,65,0.14,2,,0.3,0.02,0.007,0.028,0.01,0.0002,,,,,0.046,,1.8,2
6,6,2021-03-02,12:19:00,"Lab. Lingkungan DLH Kota Pontianak, Lab. Baristand Pontianak","Cerah, Berasap",30,27.6,40.5,6.908,0.64,38,0.89,2,18.1,0.3,0.01,0.061,0.059,0.002,0.0002,0.5,0.1,0.05,0.01,0.039,0.0011,0,0
15,6,2021-10-05,10:48:00,"Lab. Lingkungan DLH Kota Pontianak, Lab. Baristand Pontianak",Cerah,28.6,6.7,36,5.6,2.29,20,0.2,2,0.039,1,0.02,0.038,0.013,0.002,0.0002,,,,,9.25,,4.5,6.8
